City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,isla mujeres,21.2311,-86.731,290.18,67,55,11.53,MX,1707197532
84,el reno,35.5323,-97.955,278.31,93,0,2.06,US,1707197533
85,invercargill,-46.4,168.35,287.97,98,100,1.97,NZ,1707197533
86,ribeira grande,38.5167,-28.7,291.36,96,100,9.39,PT,1707197534
87,suzun,53.7841,82.3116,268.32,84,51,3.43,RU,1707197534
88,shush,32.1942,48.2436,288.39,43,77,3.97,IR,1707197535
89,talnakh,69.4865,88.3972,248.36,88,24,2.86,RU,1707197535
90,argo,37.6333,22.7333,284.72,44,1,1.64,GR,1707197535
91,wahpeton,46.2652,-96.6059,275.89,100,0,4.63,US,1707197536
92,hoemul-li,41.4339,129.67,271.87,54,100,1.44,KP,1707197536
93,nuku'alofa,-21.1333,-175.2,300.34,74,40,5.14,TO,1707197537
94,richards bay,-28.783,32.0377,298.71,72,15,1.57,ZA,1707197537
95,punta arenas,-53.15,-70.9167,283.21,71,75,4.12,CL,1707197495
96,happy valley-goose bay,53.3168,-60.3315,259.32,78,75,2.06,CA,1707197411
97,hobyo,5.3505,48.5268,301.31,67,39,8.02,SO,1707197538
98,port mathurin,-19.6833,63.4167,299.73,59,77,5.1,MU,1707197539
99,cabedelo,-6.9811,-34.8339,299.52,81,28,3.17,BR,1707197539
100,le port,-20.9373,55.2919,301.15,67,77,0.56,RE,1707197540
101,cromer,52.9312,1.2989,285.28,73,100,13.52,GB,1707197540
102,bereznik,62.8551,42.7072,245.83,99,84,1.15,RU,1707197541
103,nadym,65.5333,72.5167,259.59,95,100,8.06,RU,1707197541
104,durango,24.8333,-104.8333,282.81,25,43,1.03,MX,1707197477
105,enewetak,11.3474,162.3373,299.93,76,99,6.44,MH,1707197542
106,ketchikan,55.3422,-131.6461,276.41,75,100,2.06,US,1707197330
107,ormara,25.2088,64.6357,295.41,58,100,1.24,PK,1707197543
108,coruripe,-10.1256,-36.1756,298.74,84,74,2.47,BR,1707197544
109,isafjordur,66.0755,-23.124,264.16,77,97,5.49,IS,1707197544
110,talara,-4.5772,-81.2719,297.59,91,64,4.28,PE,1707197544
111,arraial do cabo,-22.9661,-42.0278,297.42,91,74,2.04,BR,1707197545
112,myeik,12.4333,98.6,303.47,47,16,3.8,MM,1707197545
113,dunedin,-45.8742,170.5036,291.37,73,100,0.45,NZ,1707197495
114,mount pearl,47.5166,-52.7813,274.51,98,100,9.26,CA,1707197546
115,ushuaia,-54.8,-68.3,285.96,44,0,6.17,AR,1707197368
116,vadso,70.0744,29.7487,267.24,79,75,6.69,NO,1707197546
117,ust-nera,64.5667,143.2,243.39,88,96,0.55,RU,1707197547
118,tshabong,-26.05,22.45,302.04,16,11,1.7,BW,1707197547
119,hamilton,39.1834,-84.5333,274.84,84,100,7.72,US,1707197548
120,ta`u,-14.2336,-169.5144,301.32,74,79,1.73,AS,1707197548
121,egilsstadir,65.2653,-14.3948,266.1,68,75,4.12,IS,1707197548
122,lorengau,-2.0226,147.2712,301.5,83,100,5.64,PG,1707197548
123,fukuchiyama,35.3,135.1167,279.07,81,56,3.91,JP,1707197549
124,qaqortoq,60.7167,-46.0333,251.7,68,0,2.85,GL,1707197549
125,hithadhoo,-0.6,73.0833,301.51,74,44,3.67,MV,1707197549
126,hermanus,-34.4187,19.2345,295.26,83,87,3.02,ZA,1707197550
127,thurles,52.6819,-7.8022,284.16,92,100,8.34,IE,1707197550
128,lebu,-37.6167,-73.65,288.64,97,80,2.51,CL,1707197551
129,rongelap,11.1635,166.8941,299.74,83,90,8.34,MH,1707197551
130,kolonia town,6.964,158.206,304.15,66,100,3.6,FM,1707197552
131,katsuura,35.1333,140.3,279.15,96,100,7.05,JP,1707197552
132,oxelosund,58.6706,17.1015,264.36,92,0,0.0,SE,1707197552
133,mzimba,-11.9,33.6,292.42,93,100,0.99,MW,1707197553
134,mus,39.0,41.75,267.17,98,99,2.53,TR,1707197553
135,udachny,66.4167,112.4,254.32,95,100,0.62,RU,1707197553
136,salto,-31.3833,-57.9667,300.86,69,50,2.24,UY,1707197553
137,qamdo,31.1667,97.2333,272.54,19,61,5.52,CN,1707197554
138,rio grande,-32.035,-52.0986,295.93,77,100,5.04,BR,1707197513
139,magaramkent,41.6159,48.348,277.4,67,87,8.15,RU,1707197554
140,klyuchi,52.2667,79.1667,268.81,84,94,4.67,RU,1707197555
141,margaret river,-33.95,115.0667,296.54,48,9,4.6,AU,1707197392
142,ilulissat,69.2167,-51.1,254.16,46,29,2.06,GL,1707197555
143,puerto baquerizo moreno,-0.9,-89.6,298.37,83,20,3.82,EC,1707197556
144,shevchenko,48.5,35.0,274.12,74,78,5.22,UA,1707197556
145,toyooka,35.5333,134.8333,279.18,65,75,4.12,JP,1707197556
146,yanam,16.7333,82.2167,305.99,43,3,1.0,IN,1707197557
147,magadan,59.5667,150.8,257.89,80,100,3.38,RU,1707197557
148,pacific grove,36.6177,-121.9166,282.79,90,20,0.89,US,1707197557
149,harper,4.375,-7.7169,299.41,81,59,1.54,LR,1707197558
150,ouani,-12.1322,44.4258,302.21,78,100,4.9,KM,1707197558
151,arrifes,37.7667,-25.7,290.33,94,40,6.17,PT,1707197558
152,katsuren-haebaru,26.3369,127.8719,294.58,56,75,5.14,JP,1707197559
153,lihue,21.9789,-159.3672,295.92,72,20,8.23,US,1707197559
154,camocim,-2.9022,-40.8411,298.35,90,69,4.38,BR,1707197559
